NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
64,Iman,2018-08-03,tue,DAY,2,braga,Air Sumur,20,10,15,7,10,100
65,Iman,2018-08-04,wed,DAY,2,braga,Air Sumur,20,7.2,10,14,10,250
66,Iman,2018-08-07,sat,END,2,braga,Air Sumur,20,7.2,10,14,10,50
67,Iman,2018-08-08,sun,END,2,braga,Air Sumur,20,7.2,10,14,10,100
68,Iman,2018-08-10,tue,DAY,2,braga,Air Sumur,20,10,10,14,10,50
69,Iman,2018-08-11,wed,DAY,2,braga,Air Sumur,20,10,6,7,25,250
70,Iman,2018-08-14,sat,END,2,braga,Air Sumur,20,10,10,14,25,250
71,Iman,2018-08-15,sun,END,2,braga,Air Sumur,20,10,15,14,10,100
72,Iman,2018-08-17,tue,DAY,2,braga,Air Sumur,20,10,6,7,25,250
73,Iman,2018-08-18,wed,DAY,2,braga,Air Sumur,20,10,6,7,10,50
74,Iman,2018-08-21,sat,END,2,braga,Air Sumur,20,10,15,14,10,250
75,Iman,2018-08-22,sun,END,2,braga,Air Sumur,20,10,15,14,10,50
76,Iman,2018-08-24,tue,DAY,2,braga,Air Sumur,20,10,15,14,10,250
77,Iman,2018-08-25,wed,DAY,2,braga,Air Sumur,20,10,15,14,10,100
78,Iman,2018-08-28,sat,END,2,braga,Air Sumur,20,10,10,14,25,250
79,Iman,2018-08-29,sun,END,2,braga,Air Sumur,20,10,10,14,10,50
80,Iman,2018-08-31,tue,DAY,2,braga,Air Sumur,20,10,10,7,10,100
81,Iman,2018-09-01,wed,DAY,3,braga,Air Sumur,20,7.6,10,14,10,250
82,Iman,2018-09-04,sat,END,3,braga,Air Sumur,20,7.6,10,14,25,50
83,Iman,2018-09-05,sun,END,3,braga,Air Sumur,20,7.2,10,14,25,100
84,Iman,2018-09-07,tue,DAY,3,braga,Air Sumur,20,10,10,14,10,50
85,Iman,2018-09-08,wed,DAY,3,braga,Air Sumur,20,10,6,7,25,250
86,Iman,2018-09-11,sat,END,3,braga,Air Sumur,20,10,10,14,25,250
87,Iman,2018-09-12,sun,END,3,braga,Air Sumur,20,10,15,14,25,100
88,Iman,2018-09-14,tue,DAY,3,braga,Air Sumur,20,10,6,7,25,250
89,Iman,2018-09-15,wed,DAY,3,braga,Air Sumur,20,10,6,7,10,50
90,Iman,2018-09-18,sat,END,3,braga,Air Sumur,20,10,15,14,10,250
91,Iman,2018-09-19,sun,END,3,braga,Air Sumur,20,10,15,14,10,100
92,Iman,2018-09-21,tue,DAY,3,braga,Air Sumur,20,10,15,14,10,50
93,Iman,2018-09-22,wed,DAY,3,braga,Air Sumur,20,10,15,14,10,250
94,Iman,2018-09-25,sat,END,3,braga,Air Sumur,20,10,10,14,10,100
95,Iman,2018-09-26,sun,END,3,braga,Air Sumur,20,10,10,14,25,250
96,Iman,2018-09-28,tue,DAY,3,braga,Air Sumur,20,10,10,14,10,50
97,Iman,2018-09-29,wed,DAY,3,braga,Air Sumur,20,10,10,7,10,100
98,Iman,2018-06-12,sat,END,1,braga,Air Sungai,20,7.6,10,14,10,250
99,Iman,2018-06-13,sun,END,1,braga,Air Sungai,20,7.6,10,14,25,50
100,Iman,2018-06-15,tue,DAY,1,braga,Air Sungai,20,7.2,10,14,25,100
101,Iman,2018-06-16,wed,DAY,1,braga,Air Sungai,20,10,10,14,25,50
102,Iman,2018-06-19,sat,END,1,braga,Air Sungai,20,10,15,14,25,250
103,Iman,2018-06-20,sun,END,1,braga,Air Sungai,20,10,15,14,25,100
104,Iman,2018-06-22,tue,DAY,1,braga,Air Sungai,20,10,15,14,25,250
105,Iman,2018-06-23,wed,DAY,1,braga,Air Sungai,20,10,15,14,10,50
106,Iman,2018-06-26,sat,END,1,braga,Air Sungai,20,10,15,7,10,100
107,Iman,2018-06-27,sun,END,1,braga,Air Sungai,20,7.2,10,14,10,250
108,Iman,2018-06-29,tue,DAY,1,braga,Air Sungai,20,7.2,15,14,25,50
109,Iman,2018-06-30,wed,DAY,1,braga,Air Sungai,20,7.2,10,14,10,100
110,Iman,2018-07-03,sat,END,2,braga,Air Sungai,20,10,10,14,10,50
111,Iman,2018-07-04,sun,END,2,braga,Air Sungai,20,10,6,7,25,250
112,Iman,2018-07-06,tue,DAY,2,braga,Air Sungai,20,10,10,14,10,250
113,Iman,2018-07-07,wed,DAY,2,braga,Air Sungai,20,10,10,14,10,100
114,Iman,2018-07-10,sat,END,2,braga,Air Sungai,20,10,6,7,25,250
115,Iman,2018-07-11,sun,END,2,braga,Air Sungai,20,10,6,7,10,50
116,Iman,2018-07-13,tue,DAY,2,braga,Air Sungai,20,10,10,14,10,250
117,Iman,2018-07-14,wed,DAY,2,braga,Air Sungai,20,10,10,14,10,100
118,Iman,2018-07-17,sat,END,2,braga,Air Sungai,20,10,10,14,10,100
119,Iman,2018-07-18,sun,END,2,braga,Air Sungai,20,7.6,10,14,25,100
120,Iman,2018-07-20,tue,DAY,2,braga,Air Sungai,20,7.6,10,14,25,50
121,Iman,2018-07-21,wed,DAY,2,braga,Air Sungai,20,7.2,10,14,25,100
122,Iman,2018-07-24,sat,END,2,braga,Air Sungai,20,7.2,15,14,25,50
123,Iman,2018-07-25,sun,END,2,braga,Air Sungai,20,10,6,14,25,250
124,Iman,2018-07-27,tue,DAY,2,braga,Air Sungai,20,10,6,7,25,250
125,Iman,2018-07-28,wed,DAY,2,braga,Air Sungai,20,10,15,14,25,50
126,Iman,2018-07-31,sat,END,2,braga,Air Sungai,20,10,15,14,25,250
127,Iman,2018-08-01,sun,END,2,braga,Air Sungai,20,10,15,14,25,100
128,Iman,2018-08-03,tue,DAY,2,braga,Air Sungai,20,10,10,14,25,250
129,Iman,2018-08-04,wed,DAY,2,braga,Air Sungai,20,10,10,14,10,50
130,Iman,2018-08-07,sat,END,2,braga,Air Sungai,20,10,15,7,10,100
131,Iman,2018-08-08,sun,END,2,braga,Air Sungai,20,7.2,10,14,10,250
132,Iman,2018-08-10,tue,DAY,2,braga,Air Sungai,20,7.6,15,14,25,50
133,Iman,2018-08-11,wed,DAY,2,braga,Air Sungai,20,7.6,15,14,25,100
134,Iman,2018-08-14,sat,END,2,braga,Air Sungai,20,10,10,14,10,50
135,Iman,2018-08-15,sun,END,2,braga,Air Sungai,20,10,6,7,25,250
136,Iman,2018-08-17,tue,DAY,2,braga,Air Sungai,20,10,15,14,10,250
137,Iman,2018-08-18,wed,DAY,2,braga,Air Sungai,20,10,15,14,10,50
138,Iman,2018-08-21,sat,END,2,braga,Air Sungai,20,10,15,14,10,250
139,Iman,2018-08-22,sun,END,2,braga,Air Sungai,20,10,15,14,10,100
140,Iman,2018-08-24,tue,DAY,2,braga,Air Sungai,20,10,15,14,10,250
141,Iman,2018-08-25,wed,DAY,2,braga,Air Sungai,20,10,15,14,10,50
142,Iman,2018-08-28,sat,END,2,braga,Air Sungai,20,10,10,7,10,100
143,Iman,2018-08-29,sun,END,2,braga,Air Sungai,20,7.2,10,14,10,250
